license_number,company_name,company_dba,license_classification,2 or more companies,# in each license,issued_date,naics_code,naics_name,,predirection,address_line1,address_line2,street_type,postdirection,unit_suite,city,state,postal_code,address_concat,address_api,longitude,latitude,disinvested_neighborhood,council_district,npu
GBL-0221-01234,Agincourt Industries,The James Room,Accommodation and Food Services,x,,2025-02-17 23:04:33,722511,Full-Service Restaurants ,,,661 Auburn Ave ,,,,Ste. 280,Atlanta,GA,30312,661 Auburn Ave  nan nan Atlanta GA 30312,"661 Auburn Ave NE, Atlanta, Georgia, 30312",-84.36554685,33.75592091,FALSE,2,M
GBL-0221-01295,Johnny's Pizza,BOTICA,Accommodation and Food Services,x,,2025-01-19 17:11:52,722511,Full-Service Restaurants ,,,1820 Peachtree Rd ,,,NW,,Atlanta,GA,30309,1820 Peachtree Rd  nan nan Atlanta GA 30309,"1820 Peachtree St NW, Atlanta, Georgia, 30309",-84.39408597,33.80499595,FALSE,8,E
GBL-0221-01375,Omakase Table LLC,Maple Street Biscuit Company,Accommodation and Food Services,x,,2025-01-06 15:34:29,722511,Full-Service Restaurants ,,,1085,HOWELL MILL,RD,NW,,Atlanta,GA,,1085 HOWELL MILL RD Atlanta GA nan,"1085 Howell Mill Rd NW, Atlanta, Georgia, 30318",-84.41133131,33.78454016,FALSE,3,E
GBL-0221-01378,Unidine Corporation,,Accommodation and Food Services,x,,2025-01-26 15:05:13,722511,Full-Service Restaurants ,,,1810,CHESHIRE BRIDGE,RD,NE,,Atlanta,GA,,1810 CHESHIRE BRIDGE RD Atlanta GA nan,"1810 Cheshire Bridge Rd NE, Atlanta, Georgia, 30324",-84.36356897,33.80909407,FALSE,6,F
GBL-0222-09615,"Audrey Jean, Inc.",,Accommodation and Food Services,,,2025-02-13 15:06:49,722511,Full-Service Restaurants ,,,788 West Marietta St NW,,,,,Atlanta,GA,30318,788 West Marietta St NW nan nan Atlanta GA 30318,"788 W Marietta St NW, Atlanta, Georgia, 30318",-84.41404789,33.77975431,TRUE,3,L
GBL-0222-09618,"Audrey Jean, Inc.",Wylie & Rum,Accommodation and Food Services,,,2025-01-07 17:19:11,722511,Full-Service Restaurants ,,,45,MORELAND,AVE,SE,,Atlanta,GA,,45 MORELAND AVE Atlanta GA nan,"45 Moreland Ave SE, Atlanta, Georgia, 30316",-84.34967487,33.75213715,FALSE,5,N
GBL-0222-09756,Flik International Corporation,c/o Lenbrook,Accommodation and Food Services,x,,2025-02-10 13:36:00,722310,Food Service Contractors,,NE,3747 Peachtree Road,,,,,Atlanta,GA,30319,3747 Peachtree Road nan nan Atlanta GA 30319,"3747 Peachtree Rd NE, Atlanta, Georgia, 30319",-84.34992984,33.85637222,FALSE,7,B
GBL-0222-09756,Flik International Corporation,c/o Lenbrook,Accommodation and Food Services,x,,2025-02-10 13:36:00,722310,Food Service Contractors,,NE,3747 Peachtree Road,,,,,Atlanta,GA,30319,3747 Peachtree Road nan nan Atlanta GA 30319,"3747 Peachtree Rd NE, Atlanta, Georgia, 30319",-84.34992984,33.85637222,FALSE,7,B
GBL-0222-09756,Compass Group USA Inc,c/o Lenbrook,Accommodation and Food Services,x,,2025-02-10 13:36:00,722310,Food Service Contractors,,NE,3747 Peachtree Road,,,,,Atlanta,GA,30319,3747 Peachtree Road nan nan Atlanta GA 30319,"3747 Peachtree Rd NE, Atlanta, Georgia, 30319",-84.34992984,33.85637222,FALSE,7,B
GBL-0222-09830,SH Piedmont LLC,529 BAR,Accommodation and Food Services,x,,2025-02-11 17:26:28,722410,Drinking Places (Alcoholic Beverages) ,,,517,FLAT SHOALS,AVE,SE,,ATLANTA,GA,30316,517 FLAT SHOALS AVE ATLANTA GA 30316,"517 Flat Shoals Ave SE, Atlanta, Georgia, 30316",-84.3453768,33.73995309,FALSE,5,W
